DC Bias Voltage (mV), DC Tunneling Current (mA)
2.023615, 0.048440
2.025226, 0.048536
2.027803, 0.048633
2.029092, 0.048730
2.031992, 0.048794
2.034247, 0.048907
2.035536, 0.048955
2.038757, 0.049003
2.040691, 0.049100
2.041657, 0.049197
2.044557, 0.049261
2.047134, 0.049358
2.050034, 0.049406
2.051967, 0.049503
2.054222, 0.049583
2.056477, 0.049696
2.058411, 0.049777
2.060344, 0.049857
2.062921, 0.049922
2.065821, 0.050018
2.067754, 0.050034
2.069365, 0.050099
2.071620, 0.050179
2.074520, 0.050195
2.076131, 0.050244
2.078064, 0.050324
2.080963, 0.050340
2.083219, 0.050405
2.085152, 0.050469
2.087407, 0.050566
2.089662, 0.050614
2.091918, 0.050663
2.094817, 0.050727
2.096750, 0.050808
2.099006, 0.050872
2.100616, 0.050936
2.102872, 0.051001
2.105449, 0.051065
2.107704, 0.051081
2.110282, 0.051178
2.112215, 0.051210
2.115115, 0.051275
2.116726, 0.051307
2.118981, 0.051339
2.121558, 0.051371
2.122847, 0.051436
2.125424, 0.051436
2.127358, 0.051500
2.129291, 0.051549
2.132835, 0.051613
2.134446, 0.051645
2.136379, 0.051726
2.138312, 0.051774
2.140889, 0.051839
2.143467, 0.051887
2.145722, 0.051951
2.147333, 0.051967
2.149266, 0.052048
2.151521, 0.052064
2.154099, 0.052129
2.156676, 0.052177
2.158931, 0.052209
2.160542, 0.052193
2.163442, 0.052274
2.166019, 0.052306
2.167953, 0.052322
2.170530, 0.052354
2.172785, 0.052402
2.174074, 0.052467
2.176652, 0.052499
2.179229, 0.052596
2.181162, 0.052596
2.183417, 0.052644
2.185673, 0.052692
2.187606, 0.052708
2.190183, 0.052773
2.192438, 0.052821
2.195338, 0.052837
2.197916, 0.052886
2.199526, 0.052886
2.201137, 0.052966
2.203393, 0.052950
2.206292, 0.052982
2.207581, 0.053047
2.210481, 0.053111
2.212092, 0.053111
2.214991, 0.053208
2.216924, 0.053208
2.219502, 0.053256
2.221757, 0.053337
2.224335, 0.053385
2.226268, 0.053449
2.228845, 0.053466
2.230134, 0.053498
2.232711, 0.053530
2.234322, 0.053546
2.237222, 0.053578
2.239477, 0.053594
2.240766, 0.053594
2.243343, 0.053643
2.246565, 0.053691
2.248176, 0.053723
2.250431, 0.053756
2.252687, 0.053804
2.254620, 0.053868
2.258164, 0.053917
2.259452, 0.053981
2.261386, 0.053997
2.263641, 0.054062
2.265896, 0.054078
2.268151, 0.054110
2.270084, 0.054191
2.272662, 0.054174
2.275239, 0.054223
2.277495, 0.054255
2.279750, 0.054271
2.281683, 0.054303
2.283938, 0.054335
2.285227, 0.054368
2.288449, 0.054416
2.290704, 0.054432
2.293282, 0.054464
2.295215, 0.054513
2.297148, 0.054577
2.299403, 0.054593
2.301981, 0.054690
2.304236, 0.054706
2.306813, 0.054803
2.308746, 0.054803
2.310679, 0.054819
2.312935, 0.054851
2.315190, 0.054883
2.316801, 0.054899
2.319378, 0.054964
2.322278, 0.054980
2.323889, 0.055028
2.326466, 0.055077
2.328722, 0.055093
2.330333, 0.055157
2.332266, 0.055189
2.336132, 0.055254
2.337098, 0.055254
2.339998, 0.055334
2.341931, 0.055383
2.343864, 0.055399
2.347086, 0.055463
2.349019, 0.055511
2.350308, 0.055511
2.353208, 0.055544
2.354819, 0.055576
2.357396, 0.055624
2.359651, 0.055624
2.361907, 0.055673
2.363840, 0.055721
2.366739, 0.055705
2.368995, 0.055753
2.371572, 0.055785
2.372861, 0.055866
2.375116, 0.055914
2.377049, 0.055963
2.379949, 0.056011
2.381882, 0.056043
2.384137, 0.056091
2.387037, 0.056107
2.388970, 0.056188
2.390903, 0.056188
2.392836, 0.056252
2.395414, 0.056285
2.397991, 0.056285
2.399924, 0.056317
2.402824, 0.056349
2.403468, 0.056381
2.407012, 0.056430
2.408945, 0.056462
2.411523, 0.056510
2.413456, 0.056542
2.415067, 0.056591
2.417322, 0.056639
2.419577, 0.056687
2.422799, 0.056752
2.424732, 0.056784
2.426987, 0.056816
2.429243, 0.056865
2.431176, 0.056913
2.434075, 0.056945
2.436009, 0.056977
2.437942, 0.057042
2.439230, 0.057042
2.442452, 0.057090
2.444708, 0.057090
2.446963, 0.057155
2.448896, 0.057203
2.451151, 0.057203
2.454051, 0.057267
2.455662, 0.057300
2.458239, 0.057316
2.459850, 0.057380
2.461783, 0.057428
2.465005, 0.057445
2.466616, 0.057493
2.468227, 0.057557
2.471449, 0.057622
2.474026, 0.057606
2.475959, 0.057686
2.477892, 0.057718
2.480148, 0.057751
2.482403, 0.057799
2.484980, 0.057831
2.486913, 0.057863
2.488847, 0.057928
2.491424, 0.057960
2.493679, 0.057976
2.495935, 0.058073
2.497868, 0.058137
2.500445, 0.058186
2.503023, 0.058234
2.504311, 0.058250
2.507533, 0.058314
2.508822, 0.058363
2.512366, 0.058395
2.514299, 0.058476
2.515910, 0.058508
2.518165, 0.058524
2.520743, 0.058540
2.522354, 0.058572
2.524609, 0.058637
2.527186, 0.058685
2.529119, 0.058717
2.532019, 0.058798
2.533630, 0.058814
